Meter Type,Main Meter,,,
Date / End Time,kW Export,kW Import,kVAR Export,kVAR Import
11/05/2025 03:30:00,0,1385,0,433
11/05/2025 04:00:00,0,1496,0,470
11/05/2025 04:30:00,0,1387,0,436
11/05/2025 05:00:00,0,1413,0,483
11/05/2025 05:30:00,0,1374,0,406
11/05/2025 06:00:00,0,1208,0,354
11/05/2025 06:30:00,0,893,0,219
11/05/2025 07:00:00,0,1134,0,350
11/05/2025 07:30:00,0,1195,0,390
11/05/2025 08:00:00,0,1012,0,303
11/05/2025 08:30:00,0,1048,0,346
11/05/2025 09:00:00,0,1299,0,478
11/05/2025 09:30:00,0,1315,0,504
11/05/2025 10:00:00,0,1120,0,464
11/05/2025 10:30:00,0,1016,0,466
11/05/2025 11:00:00,0,1015,0,485
11/05/2025 11:30:00,0,1095,0,489
11/05/2025 12:00:00,0,1022,0,440
11/05/2025 12:30:00,0,1052,0,423
11/05/2025 13:00:00,0,795,0,406
11/05/2025 13:30:00,0,472,0,242
11/05/2025 14:00:00,0,684,0,267
11/05/2025 14:30:00,0,1138,0,449
11/05/2025 15:00:00,0,1035,0,469
11/05/2025 15:30:00,0,980,0,479
11/05/2025 16:00:00,0,1096,0,452
11/05/2025 16:30:00,0,1164,0,453
11/05/2025 17:00:00,0,1293,0,500
11/05/2025 17:30:00,0,840,0,280
11/05/2025 18:00:00,0,1283,0,461
11/05/2025 18:30:00,0,1368,0,449
11/05/2025 19:00:00,0,1499,0,451
11/05/2025 19:30:00,0,1506,0,453
11/05/2025 20:00:00,0,1143,0,311
11/05/2025 20:30:00,0,1183,0,345
11/05/2025 21:00:00,0,1365,0,405
11/05/2025 21:30:00,0,1463,0,428
11/05/2025 22:00:00,0,1453,0,424
11/05/2025 22:30:00,0,1378,0,413
11/05/2025 23:00:00,0,1515,0,491
11/05/2025 23:30:00,0,1466,0,460
11/06/2025 00:00:00,0,1365,0,390
11/06/2025 00:30:00,0,1022,0,245
11/06/2025 01:00:00,0,861,0,226
11/06/2025 01:30:00,0,1175,0,358
11/06/2025 02:00:00,0,1184,0,368
11/06/2025 02:30:00,0,1469,0,435
11/06/2025 03:00:00,0,1516,0,489
11/06/2025 03:30:00,0,1374,0,416
11/06/2025 04:00:00,0,1411,0,437
11/06/2025 04:30:00,0,1394,0,423
11/06/2025 05:00:00,0,1414,0,421
11/06/2025 05:30:00,0,1314,0,374
